No	Investor	Tokens	TokenSubtotal
125	0xe66ef6fe93c04f60178b11744246fd2f497f583a	1500	9904546.149424652948171
126	0x003e29c696d9e4c74c31cd6e7dcf197f20592ec2	51996.85892	9956543.008344652948171
127	0x245f27796a44d7e3d30654ed62850ff09ee85656	1800000	11756543.008344652948171
128	0x8f4c2615c6fc88074270d56a1231a4305e8bd85b	2000	11758543.008344652948171
129	0x6e8b688cb562a028e5d9cb55ac1ee43c22c96995	48000	11806543.008344652948171
130	0xe75a221ec2fc0ca81eda031573c2e8b72bc31f2a	14300	11820843.008344652948171
131	0xdb671ebbaa43306775f52f8b5620a37d1926ac0b	12000	11832843.008344652948171
132	0x87ad0f383ae616c57294be77dde6fdd40c7cb5d1	987.66368	11833830.672024652948171
133	0x4c9c6fc54e0580a3862b6d21c5316d8f8f8e9913	6000	11839830.672024652948171
134	0x3f5f58cf4aebc0145683c4dd619b3b2fa85879e0	12000	11851830.672024652948171
135	0xce14cec3d6a45294314d2bcfd70b1e9e9a723725	1920000	13771830.672024652948171
136	0x26760096dd9398a235f22909b8d7b2cb244caee8	10000	13781830.672024652948171
137	0x97cc1202cd3ff5c13fd7d93a4c97829f898f2051	58789	13840619.672024652948171
138	0x668c9c3f9f700c2822b1c9f0021489d889535673	25500	13866119.672024652948171
139	0x00afe1f685add0495bf32ac61e500852674bfc43	300000	14166119.672024652948171
140	0x9a06fbfff4fc2a339927c1cbbde1a1fc23ce3c27	18000	14184119.672024652948171
141	0x5bf7c053a1b182afa1df620e7f1a2e3058945929	39600	14223719.672024652948171
142	0xa57c1f0bd9e4b14f016c143889ef0184369c2c66	18000	14241719.672024652948171
143	0x1c4b36dd747f9a0db31f74d1f632b902114fc760	36000	14277719.672024652948171
144	0x00f600c214bb1f6f2ce352e5f673a011c5eb1088	12000	14289719.672024652948171
145	0x2c0a252014b70021e8daba31a1a7b993d3c1caec	24000	14313719.672024652948171
146	0x00009277775ac7d0d59eaad8fee3d10ac6c805e8	19000	14332719.672024652948171
147	0xcc58a258f53eb73d892835ef349ebd699833e8fb	15600	14348319.672024652948171
148	0xb5cbb1b8a20a086857a95b7f157d3349a1304909	24000	14372319.672024652948171
149	0x18bfbc081001d58c26e52f9b2d0299c0c887c9c7	10000	14382319.672024652948171
150	0xc190b4f46f8957af9c088ca9277653af911e7711	2000	14384319.672024652948171
151	0xe12e8c7332c9977bbc2e40f394dcc13576ca55f2	72000	14456319.672024652948171
152	0xa863ac766ff44cc3810063383c822f70252192a8	15600	14471919.672024652948171
153	0x687ec53bf2d720d4033d146c3f023a4958210aea	4000	14475919.672024652948171
154	0x1f19f9ffdc7f8c71c6b09d7c7349f0932229d401	6000	14481919.672024652948171
155	0x1b22a64ea64c2f4cf1d6ae25c855db5fe1ca0e20	40000	14521919.672024652948171
156	0x0eacc4ab348e8456051f094058dbbdb1653a4da5	4000	14525919.672024652948171
157	0x7255d77d92c7311bdedd38b54bb50c1c1ee6af2f	3230	14529149.672024652948171
158	0xea3c5e2af2c02dee176deb75a6acfe596bfb4f82	12000	14541149.672024652948171
